| Contents |                                                                                                                                                                |  |
|----------|----------------------------------------------------------------------------------------------------------------------------------------------------------------|--|
| 1        | General                                                                                                                                                        |  |
| 2        | Eligible Category of Borrowers                                                                                                                                 |  |
| 3        | Eligibility<br>for Housing Finance                                                                                                                             |  |
| 4        | Terms and Conditions for Housing Loans                                                                                                                         |  |
|          | 4.1 Maximum Loan Amount and Margin                                                                                                                             |  |
|          | 4.2 Interest rate, foreclosure charges / prepayment penalty and reset of floating<br>interest rate on Equated Monthly Instalments (EMI) based housing<br>loans |  |
|          | 4.3 Penal Charges                                                                                                                                              |  |
|          | 4.4 Security                                                                                                                                                   |  |
|          | 4.5 Period of Loan                                                                                                                                             |  |
|          | 4.6 Graduated Instalments                                                                                                                                      |  |
|          | 4.7 Aggregate Limit for Housing Finance                                                                                                                        |  |
| 5        | Additional / Supplementary Finance                                                                                                                             |  |
| 6        | Lending to Housing Boards                                                                                                                                      |  |
| 7        | Advances to Builders / Contractors                                                                                                                             |  |
| 8        | Housing Loans under Priority Sector                                                                                                                            |  |
| 9        | Precautions                                                                                                                                                    |  |
| 10       | National Building Code                                                                                                                                         |  |
| •        | Annex 1                                                                                                                                                        |  |
| •        | Annex 2                                                                                                                                                        |  |
| •        | Appendix                                                                                                                                                       |  |

| Sl No | Circular No.                                     | Date       | Subject                                                                                                                                                 |
| 28 | UBD.BPD.UCB.No.31/09.09.<br>01/ 2002-03    | 30.12.2002 | Priority Sector Advances                                                                                  |
| 29 | UBD.No.Plan.Cir.RCS.2/09.<br>22.01/98-99   | 15.03.1999 | Finance for Housing Schemes - Primary<br>(Urban) Co-operative Banks                                       |
| 30 | UBD.No.Plan/.RO.49/09.22.<br>01/97-98      | 17.06.1998 | Finance for Housing Scheme - Primary<br>(Urban) Co-operative Banks                                        |
| 31 | UBD.No.Plan.CIR(RCS).9/0<br>9.22.01/ 95-96 | 01.09.1995 | Finance for Housing Schemes - Primary<br>(Urban) Co-operative Banks                                       |
| 32 | UBD.No.Plan.CIR(RCS)8/09<br>.22.01/ 94-95  | 11.01.1995 | Finance for Housing Schemes - Primary<br>(Urban) Co-operative Banks                                       |
| 33 | UBD.No.P&O.10/UB-31/91-<br>92              | 26.03.1992 | Finance for Housing Schemes - Primary<br>(Urban) Co-operative Banks                                       |
| 34 | UBD.No.P&O.108/UB.31-<br>88/89             | 05.04.1989 | Finance for Housing Schemes - Primary<br>(Urban) Co-operative Banks                                       |
| 35 | UBD.DC1/R.1-87/88                          | 03.07.1987 | Maximum Limit on Advances                                                                                 |
| 36 | UBD.No.(DC)2/R.1-87/88                     | 03.07.1987 | Maximum Limit on Advances                                                                                 |
| 37 | DBOD.UBD.P&O.161/UB.31<br>-83/84           | 02.09.1983 | Urban co-operative bank finance for<br>housing schemes                                                    |
| 38 | DBOD.UBD.P&O.229/UB.31<br>-82/83           | 05.11.1982 | Co-operative bank finance for housing<br>schemes                                                          |
| 39 | DBOD.UBD.P&O<br>230/UB.31-82/83            | 05.11.1982 | Co-operative bank finance for housing<br>schemes for the economically weaker<br>sections of the community |
| 40 | ACD.Plan.(SZ)401/PR.338-<br>81/2           | 17.08.1981 | Co-operative Bank Finance For Housing<br>Schemes                                                          |
| 41 | ACD.Plan.1502/PR.338-76/7                  | 11.10.1976 | Co-operative bank finance for housing<br>schemes for the economically weaker<br>sections of the community |
| 42 | ACD.Plan.(781)/PR.338-<br>76/77            | 24.08.1976 | Co-operative bank finance for housing<br>schemes for the economically weaker<br>sections of the community |

| Sl<br>No | Circular No.                                             | Date                 | Subject                                                                                                                                             |
|----------|----------------------------------------------------------|----------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------|
| 1        | DOR.REG.No.84/07.01.000/2022-23                          | December 1,<br>2022  | Revised<br>Regulatory<br>Framework<br>-<br>Categorization of Urban Co-operative<br>Banks (UCBs) for Regulatory Purposes                             |
| 2        | DOR (PCB).BPD.Cir<br>No.10/13.05.000/2019-20             | March 13,<br>2020    | Limits on exposure to single and group<br>borrowers/parties and large exposures<br>and Revision in the target for priority<br>sector lending – UCBs |
| 3        | Master Directions FIDD.CO.Plan.BC.<br>5/04.09.01/2020-21 | September 4,<br>2020 | Master<br>Directions<br>–<br>Priority<br>Sector<br>Lending<br>(PSL)<br>–<br>Targets<br>and<br>Classification                                        |
| 4        | UBD.BPD.(PCB)<br>CIR No.41/12.05.001/2011-12             | 26.06.2012           | Home Loans –<br>Levy of Fore-closure<br>Charges<br>/<br>Prepayment<br>Penalty<br>by<br>Urban Co-operative Banks (UCBs)                              |
| 5        | UBD.BPD.(PCB)CI<br>RNo.33/09.09.001/2011-12              | 18.05.2012           | Priority Sector Lending – Indirect<br>Finance to Housing Sector.                                                                                    |
| 6        | UBD.BPD.(PCB)CI<br>RNo.46/09.09.001/2010-11              | 11.05.2011           | Limit of Housing Loans Under Priority<br>Sector Advances - UCBs                                                                                     |
| 7        | UBD.UCB.Cir.No.11/09.09.01/07-08                         | 30.08.2007           | Revised guidelines on lending to<br>priority sector.                                                                                                |
| 8        | UBD.UCB.BPD.1/09.09.001/06-07                            | 11.07.2006           | Priority Sector lending-investments in<br>special bonds issued by NHB / HUDCO                                                                       |
| 9        | UBD.UCB.Cir.No.16/09.09.001/06-<br>07                    | 17.10.2006           | Priority Sector lending-housing loans<br>enhancement of ceiling.                                                                                    |
| 10       | UBD.DS.CirNo.44/13.05.00/2004-05                         | 15.04.2005           | Maximum Limit on Advances - Limit on<br>Credit Exposure                                                                                             |
| 11       | UBD.No.DS.CIR.31/13.05.00/992000                         | 01.04.2000           | Maximum Limit on Advances - Limit on<br>Credit Exposure                                                                                             |
| 12       | UBD.Plan.PCB.17/09.09.01/99-2000                         | 22.12.1999           | Priority Sector lending - Housing<br>Finance                                                                                                        |
| 13       | UBD.No.Plan.UCB.24/09.09.01/97-<br>98                    | 01.12.1997           | Priority<br>Sector<br>Lending<br>by<br>Primary<br>(Urban) Cooperative Banks                                                                         |
| 14       | UBD.No.DS.UCB.CIR.39/13.05.00/<br>95-96                  | 16.01.1996           | Maximum Limit on Advances by Primary<br>(Urban) Co-operative Banks                                                                                  |

| 15 | UBD.No.Plan.(UCB)6/09.09.01/94-<br>95 | 22.07.1994 | Priority<br>Sector<br>Lending<br>by<br>Primary<br>(Urban) Cooperative Banks |
|----|---------------------------------------|------------|-----------------------------------------------------------------------------|
| 16 | UBD.No.Plan.68/09.09-01/93-94         | 09.05.1994 | Priority<br>Sector<br>Lending<br>by<br>Primary<br>(Urban) Cooperative Banks |
| 17 | UBD.DC.536/R.1-84/84                  | 16.10.1984 | Maximum Limits on Advances                                                  |
