| Sr.<br>No. | Reference Number                               | Date                    | Subject                                                                                                                                                                                                                                                                                     |
| 15         | DPSS.CO.CHD.No.485/<br>03.06.01/2010-11      | September 01,<br>2010   | Dishonour / Return of Cheques -<br>Need to Mention the 'Date of Return' in the Cheque<br>Return Memo                                                                                                                                                                                                                                                                                                                                         |
| 16         | DPSS.CO.AD. No.552/<br>02.27.004/2010-2011   | September 15,<br>2010   | Prevention of Money-laundering (Maintenance of Records of the Nature and Value of<br>Transactions, the Procedure and Manner of Maintaining and Time for Furnishing<br>Information and Verification and Maintenance of Records of the Identity of the Clients<br>of the Banking Companies, Financial Institutions and Intermediaries) Second<br>Amendment Rules, 2010-obligation of entities authorized to operate Payment System<br>in India |
| 17         | DPSS(CO) RTGS No.<br>1008/04.04.002/2010-11  | November 03,<br>2010    | Electronic Funds Transfer Infrastructure in India –<br>Usage of RTGS and NEFT                                                                                                                                                                                                                                                                                                                                                                |
| 18         | DPSS (CO) RTGS No.<br>1051/04.04.002/2010-11 | November<br>09,<br>2010 | Electronic Funds Transfer Infrastructure in India –<br>Usage of RTGS and NEFT                                                                                                                                                                                                                                                                                                                                                                |
| 19         | DPSS (CO) RTGS No.<br>1605/04.08.002/2010-11 | November 12,<br>2010    | Up-gradation of CFMS System to Windows 2008                                                                                                                                                                                                                                                                                                                                                                                                  |
| 20         | DPSS.CO.CHD.No.1514<br>/03.01.03/2010-2011   | January 04, 2011        | Enhancing the scope of Speed Clearing                                                                                                                                                                                                                                                                                                                                                                                                        |
| 21         | DPSS.CO.AD.No.1568/<br>02.27.005/2010-11     | January 07, 2011        | List of Terrorist Individuals/ Organisations under UNSCR 1267(1999) and 1822(2008)<br>on Taliban/Al-Qaida Organisation                                                                                                                                                                                                                                                                                                                       |
| 22         | DPSS (CO) RTGS No.<br>1654/04.08.002/2010–11 | January 18, 2011        | Centralised Funds Management System (CFMS) –<br>Extension of timings                                                                                                                                                                                                                                                                                                                                                                         |
| 23         | DPSS.CO.AD.No.1569/<br>02.27.005/2010-11     | January 18, 2011        | Anti-Money Laundering (AML)/Combating of Financing of Terrorism (CFT) –<br>Standards                                                                                                                                                                                                                                                                                                                                                         |
| 24         | DPSS.CO.AD.No.1568<br>/02.27.005/2010-11     | January 18, 2011        | Anti-Money Laundering (AML)/Combating of Financing of Terrorism (CFT) –<br>Standards                                                                                                                                                                                                                                                                                                                                                         |
| 25         | DPSS.CO.AD.No.2068/<br>02.27.005/2010-11     | March 10, 2011          | List of Terrorist Individuals/ Organisations under UNSCR 1267(1999) and 1822(2008)<br>on Taliban/Al-Qaida Organisation                                                                                                                                                                                                                                                                                                                       |
| 26         | DPSS(CO)CHD No.2099<br>/03.02.03/2010-11     | March 14, 2011          | Automation of non-MICR Clearing Houses –<br>Implementation of a new Clearing<br>Software –Express Cheque Clearing System                                                                                                                                                                                                                                                                                                                     |

| Sr.<br>No. | Reference Number     | Date              | Subject                                                                             |
|------------|----------------------|-------------------|-------------------------------------------------------------------------------------|
| 27         | DPSS.CO.AD.No.2181 / | March 23, 2011    | List of Terrorist Individuals/ Organisations under UNSCR 1267(1999) and 1822(2008)  |
|            | 02.27.005/2010-11    |                   | on Taliban/Al-Qaida Organisation                                                    |
| 28         | DPSS.CO.AD.No.2317   | April 08, 2011    | Anti-<br>Money Laundering (AML)<br>/ Combating of Financing of Terrorism (CFT)-     |
|            | /02.27.005/2010-11   |                   | Standards                                                                           |
| 29         | DPSS.CO.AD.No.2318   | April 08, 2011    | Anti-Money Laundering (AML)/Combating of Financing of Terrorism (CFT) –             |
|            | /02.27.005/2010-11   |                   | Standards                                                                           |
| 30         | DPSS.CO.AD.No.2390   | April 19, 2011    | List of Terrorist Individuals/ Organisations under UNSCR 1267(1999) and 1822(2008)  |
|            | /02.27.005/2010-11   |                   | on Taliban/Al-Qaida Organisation                                                    |
| 31         | DPSS.CO.AD.No.2545   | May 11, 2011      | List of Terrorist Individuals/ Organisations under UNSCR 1267(1999) and 1822(2008)  |
|            | /02.27.005/2010-11   |                   | on Taliban/Al-Qaida Organisation                                                    |
| 32         | DPSS.CO.AD.No.2818   | June 22, 2011     | List of Terrorist Individuals/ Organisations under UNSCR 1267(1999) and 1822(2008)  |
|            | /02.27.005/2010-11   |                   | on Taliban/Al-Qaida Organisation                                                    |
| 33         | DPSS.CO.AD.No.2858   | June 27, 2011     | List of Terrorist Individuals/ Organisations under UNSCR 1267(1999) and 1822(2008)  |
|            | /02.27.005/2010-11   |                   | on Taliban/Al-Qaida Organisation                                                    |
| 34         | DPSS.CO.AD.No.2868   | June 30, 2011     | List of Terrorist Individuals/ Organisations under UNSCR 1267(1999) and 1822(2008)  |
|            | /02.27.005/2010-11   |                   | on Taliban/Al-Qaida Organisation                                                    |
| 35         | DPSS.CO.AD.No.208    | August 04, 2011   | List of Terrorist Individuals / Organisations under UNSCR 1267(1999) and 1822(2008) |
|            | /02.27.005 /2011-12  |                   | on Taliban / Al-Qaida Organisation                                                  |
| 36         | DPSS.CO.AD.No.313    | August 18, 2011   | Anti-<br>Money Laundering (AML) / Combating of Financing of Terrorism (CFT) -       |
|            | /02.27.005/2011-12   |                   | Standards                                                                           |
| 37         | DPSS.CO.AD.No.314    | August 18, 2011   | Anti-Money Laundering (AML)/Combating of Financing of Terrorism (CFT) –             |
|            | /02.27.005/2011-12   |                   | Standards                                                                           |
| 38         | DPSS(CO)RTGS No.388  | September 05,     | RTGS service charges for members                                                    |
|            | /04.04.002/2011-2012 | 2011              |                                                                                     |
| 39         | DPSS.CO.AD.No.604    | October 03, 2011  | List of Terrorist Individuals / Organisations under UNSCR 1267(1999) and 1822(2008) |
|            | /02.27.005 /2011-12  |                   | on Taliban / Al-Qaida Organisation                                                  |
| 40         | DPSS.CO.AD.No. 1321  | January 23, 2012  | Implementation of Section 51-A of UAPA, 1967-<br>Splitting of UNSC 1267 Committee's |
|            | /02.27.005/2011-12   |                   | list of individuals and entities linked to Al-Qaida and Taliban                     |
| 41         | DPSS.CO.AD.No.1328   | January 24, 2012  | Implementation of Section 51-A of UAPA, 1967 -<br>Updates of the UNSCR 1267 (1999)  |
|            | /02.27.005/2011-12   |                   | and 1989 (2011) Committee's Al Qaida Sanctions List                                 |
| 42         | DPSS.CO.AD.No.1425   | February 09, 2012 | Anti-<br>Money Laundering (AML) / Combating of Financing of Terrorism (CFT)-        |
|            | /02.27.005/2011-12   |                   | Standards                                                                           |

| Sr.<br>No. | Reference Number                            | Date                  | Subject                                                                                                                                      |
|------------|---------------------------------------------|-----------------------|----------------------------------------------------------------------------------------------------------------------------------------------|
| 43         | DPSS.CO.AD.No.1524<br>/02.27.005/2011-12    | February 17, 2012     | Implementation of Section 51-A of UAPA, 1967 -<br>Updates of the UNSCR 1267 (1999)<br>and 1989 (2011) Committee's Al Qaida Sanctions List    |
| 44         | DPSS.CO.AD.No.1877<br>/02.27.005/2011-12    | April 11, 2012        | Anti-<br>Money Laundering (AML) / Combating of Financing of Terrorism (CFT) -<br>Standards                                                   |
| 45         | DPSS.CO.AD.No.1891<br>/02.27.005/2011-12    | April 12, 2012        | Implementation of Section 51-A of UAPA, 1967 -<br>Updates of the UNSCR 1988 (2011)<br>Sanctions List                                         |
| 46         | DPSS.CO.AD.No.1892<br>/02.27.005/2011-12    | April 12, 2012        | Implementation of Section 51-A of UAPA, 1967 -<br>Updates of the UNSCR 1267 (1999)<br>and 1989 (2011) Committee's Al Qaida Sanctions List    |
| 47         | DPSS(CO)EPPD No. 1918<br>/04.03.01/ 2011-12 | April 18, 2012        | ECS (Debit) mandate management procedure by the banks –<br>adherence to<br>Procedural Guidelines                                             |
| 48         | DPSS.CO.AD.No.2058<br>/02.27.005/2011-12    | May 09, 2012          | Implementation of Section 51-A of UAPA, 1967 -<br>Updates of the UNSCR 1267 (1999)<br>and 1989 (2011) Committee's Al Qaida Sanctions List    |
| 49         | DPSS.CO.CHD No.2073<br>/03.02.01/2011-12    | May 11, 2012          | Guidelines for clearing of cheques where there is no formal clearing house                                                                   |
| 50         | DPSS.CO.AD.No.2218<br>/02.27.005/2011-12    | June 07,<br>2012      | Implementation of Section 51-A of UAPA, 1967 -<br>Updates of the UNSCR 1267 (1999)<br>and 1989 (2011) Committee's Al Qaida Sanctions List    |
| 51         | DPSS.CO.PD.No.2361<br>/02.14.003/ 2011-12   | June 28, 2012         | Merchant Discount Rates (MDR) structure for debit card transactions                                                                          |
| 52         | DPSS.CO.PD.No. 27<br>/02.14.003 /2012-13    | July 04, 2012         | Merchant Discount Rates (MDR) structure for debit card transactions                                                                          |
| 53         | DPSS.CO.AD.No47<br>/02.27.005/2012-13       | July 06, 2012         | Implementation of Section 51-A of UAPA, 1967 -<br>Updates of the UNSCR<br>1267 (1999)<br>and 1989 (2011) Committee's Al Qaida Sanctions List |
| 54         | DPSS.CO.AD.No.48<br>/02.27.005/2012-13      | July 06, 2012         | Implementation of Section 51-A of UAPA, 1967 -<br>Updates of the UNSCR 1988 (2011)<br>Sanctions List                                         |
| 55         | DPSS.CO.AD.No. 426<br>/02.27.005/2012-13    | September 06,<br>2012 | Anti-<br>Money Laundering (AML) / Combating of Financing of Terrorism (CFT) -<br>Standards                                                   |
| 56         | DPSS.CO.AD. No.427/<br>02.27.005/2012-13    | September 06,<br>2012 | Implementation of Section 51-A of UAPA, 1967 -<br>Updates of the UNSCR 1267 (1999)<br>and 1989 (2011) Committee's Al Qaida Sanctions List    |
| 57         | DPSS.CO.AD. No.666/<br>02.27.005/2012-13    | October 19, 2012      | Implementation of Section 51-A of UAPA, 1967 -<br>Updates of the UNSCR 1267 (1999)<br>and 1989 (2011) Committee's Al Qaida Sanctions List    |
| 58         | DPSS. CO. AD. No. 667/<br>02.27.005/2012-13 | October 19, 2012      | Implementation of Section 51-A of UAPA, 1967 -<br>Updates of the UNSCR 1988 (2011)<br>Sanctions List                                         |

| Sr.<br>No. | Reference Number                             | Date             | Subject                                                                                                                              |
|------------|----------------------------------------------|------------------|--------------------------------------------------------------------------------------------------------------------------------------|
| 59         | DPSS.CO.EPPD. No. 825/                       | November 21,     | National / Regional Electronic Clearing<br>Service (NECS/RECS) –<br>Extension of service                                             |
|            | 04.03.02/2012-13                             | 2012             | to remaining branches                                                                                                                |
| 60         | DPSS. CO. AD. No. 1121/                      | January 08, 2013 | Implementation of Section 51-A of UAPA, 1967 -Updates of the UNSCR 1267 (1999)                                                       |
|            | 02.27.005/2012-13                            |                  | and 1989(2011) Committee's Al Qaida Sanctions List                                                                                   |
| 61         | DPSS. CO. AD. No. 1120/                      | January 08, 2013 | Anti-<br>Money Laundering (AML) / Combating of Financing of Terrorism (CFT) -                                                        |
|            | 02.27.005/2012-13                            |                  | Standards                                                                                                                            |
| 62         | DPSS. CO. AD. No. 2051/                      | May 08, 2013     | Anti-<br>Money Laundering (AML) / Combating of Financing of Terrorism (CFT) -                                                        |
|            | 02.27.005/2012-13                            |                  | Standards                                                                                                                            |
| 63         | DPSS. CO. AD. No. 2050/<br>02.27.005/2012-13 | May 08, 2013     | Implementation of Section 51-A of UAPA, 1967 -Updates of the UNSCR 1267 (1999)<br>and 1989(2011) Committee's Al Qaida Sanctions List |
| 64         | DPSS.CO.CHD. No.133 /                        | July 16, 2013    | Standardization and Enhancement of Security Features in Cheque Forms/Migrating                                                       |
|            | 04.07.05 / 2013-14                           |                  | to CTS 2010 standards                                                                                                                |
| 65         | DPSS. CO. AD. No. 626/                       | September 13,    | Anti-<br>Money Laundering (AML) / Combating of Financing of Terrorism (CFT) -                                                        |
|            | 02.27.005/2013-14                            | 2013             | Standards                                                                                                                            |
| 66         | DPSS. CO. AD. No.627/                        | September 13,    | Implementation of Section 51-A of UAPA, 1967 -<br>Updates of the UNSCR 1988 (2011)                                                   |
|            | 02.27.005/2013-14                            | 2013             | Sanctions List                                                                                                                       |
| 67         | DPSS. CO. AD. No.628/                        | September 13,    | Implementation of Section 51-A of UAPA, 1967 -<br>Updates of the UNSCR 1267 (1999)                                                   |
|            | 02.27.005/2013-14                            | 2013             | / 1989(2011) Committee's Al Qaida Sanctions List and Consolidated List                                                               |
| 68         | DPSS. CO. AD. No.919/                        | October 25, 2013 | Know Your Customer (KYC) Norms /Anti-Money Laundering (AML) Standards/                                                               |
|            | 02.27.005/2013-14                            |                  | Combating of Financing of Terrorism (CFT)/Obligation of PSOs under Prevention of                                                     |
|            |                                              |                  | Money Laundering Act (PMLA), 2002 –<br>e-KYC Service of UIDAI –<br>Recognizing on                                                    |
|            |                                              |                  | line Aadhaar authentication (electronic verification process) to be accepted as an                                                   |
|            |                                              |                  | 'Officially Valid Document' under PML Rules                                                                                          |
| 69         | DPSS. CO. AD. No. 1502/                      | January 07, 2014 | Implementation of Section 51-A of UAPA, 1967 -<br>Updates of the UNSCR 1267 (1999)                                                   |
|            | 02.27.005/2013-14                            |                  | / 1989(2011) Committee's Al Qaida Sanctions List and Consolidated List                                                               |
| 70         | DPSS. CO. AD. No. 1503/                      | January 07, 2014 | Anti-<br>Money Laundering (AML) / Combating of Financing of Terrorism (CFT) -                                                        |
|            | 02.27.005/2013-14                            |                  | Standards                                                                                                                            |
| 71         | DPSS.CO.AD.No.1968/                          | March 18, 2014   | Anti-<br>Money Laundering (AML)/Combating of Financing of Terrorism (CFT) -                                                          |
|            | 02.27.005 /2013-14                           |                  | Standards                                                                                                                            |
| 72         | DPSS.CO.AD.No.2501                           | May 30, 2014     | Know Your Customer (KYC) Norms /Anti-Money Laundering (AML) Standards/                                                               |
|            | /02.27.005/2013-14                           |                  | Combating of Financing of Terrorism (CFT)/Obligation of PSOs under Prevention of                                                     |
|            |                                              |                  | Money Laundering Act (PMLA), 2002 –<br>Amendment to Section 13(2)                                                                    |

| Sr.<br>No. | Reference Number                           | Date                  | Subject                                                                                                                                                                                                                                                                                                                                                |
|------------|--------------------------------------------|-----------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 73         | DPSS.CO.AD.No.2646<br>/02.27.005/2013-14   | June 20, 2014         | Know Your Customer (KYC) Norms /Anti-Money Laundering (AML) Standards/<br>Combating of Financing of Terrorism (CFT)/Obligation of Payment System Operators<br>under Prevention of Money Laundering Act (PMLA), 2002 –<br>e-KYC Service of UIDAI<br>–<br>Recognizing E-<br>Aadhaar as an 'Officially Valid Document' under PML Rules                    |
| 74         | DPSS.CO.AD.No. 27/<br>02.27.005/2014-15    | July 03, 2014         | Know Your Customer (KYC) Norms /Anti-Money Laundering (AML) Standards/<br>Combating of Financing of Terrorism (CFT)/Obligation of Payment System Operators<br>under Prevention of Money Laundering Act (PMLA), 2002 –<br>Clarification on Proof of<br>Address.                                                                                         |
| 75         | DPSS.CO.AD.No.283/<br>02.27.005/2014-15    | August 14, 2014       | Inter-Government Agreement (IGA) with United States of America (US) under Foreign<br>Accounts Tax Compliance Act (FATCA) -<br>Registration                                                                                                                                                                                                             |
| 76         | DPSS.CO.AD.No.320/<br>02.27.005/2014-15    | September 03,<br>2014 | Anti-Money Laundering (AML) / Combating of Financing of Terrorism (CFT) -<br>Standards                                                                                                                                                                                                                                                                 |
| 77         | DPSS.CO.AD.No.628/<br>02.27.005/2014-15    | October 09, 2014      | Implementation of Section 51-A of UAPA, 1967 –<br>Updates of the UNSCR 1267(1999)<br>/ 1989(2011) Committee's Al Qaida Sanctions List                                                                                                                                                                                                                  |
| 78         | DPSS.CO.AD.No.627/<br>02.27.005/2014-15    | October 09, 2014      | Implementation of Section 51-A of UAPA, 1967-<br>Updates of the UNSCR 1988(2011)<br>Taliban Sanctions List                                                                                                                                                                                                                                             |
| 79         | DPSS.CO.AD.No.890/<br>02.27.005/2014-15    | November 24,<br>2014  | Simplification of Know Your Customer (KYC) Norms –<br>Creating Public awareness                                                                                                                                                                                                                                                                        |
| 80         | DPSS.CO.AD.No.891/<br>02.27.005/2014-15    | November 27,<br>2014  | Know Your Customer (KYC) Norms /Anti-Money Laundering (AML) Standards/<br>Combating of Financing of Terrorism (CFT)/ Obligation of Payment System Operators<br>under Prevention of Money Laundering Act (PMLA), 2002 Obligation of Payment<br>System Operators –<br>Amendment to Prevention of Money-Laundering (Maintenance<br>of Records) Rules 2013 |
| 81         | DPSS(CO)RTGS No.<br>1064/04.04.002/2014-15 | December 15,<br>2014  | Extension of RTGS time window                                                                                                                                                                                                                                                                                                                          |
| 82         | DDPSS.CO.AD.No.1195/<br>02.27.005/2014-15  | January 02, 2015      | Anti-Money Laundering (AML) / Combating of Financing of Terrorism (CFT) -<br>Standards                                                                                                                                                                                                                                                                 |
| 83         | DPSS.CO.AD.No.1196 /<br>02.27.005/2014-15  | January 02, 2015      | Implementation of Section 51-A of UAPA, 1967-<br>Updates of the UNSCR 1988(2011)<br>Taliban Sanctions List                                                                                                                                                                                                                                             |
| 84         | DPSS.CO.AD.No.1197/<br>02.27.005/2014-15   | January 02, 2015      | Implementation of Section 51-A of UAPA, 1967 –<br>Updates of the UNSCR 1267(1999)<br>/ 1989(2011) Committee's Al Qaida Sanctions List                                                                                                                                                                                                                  |

| Sr.<br>No. | Reference Number                          | Date              | Subject                                                                                                                                                                                                                       |
|------------|-------------------------------------------|-------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 85         | DPSS.CO.AD.No.1273/<br>02.27.005/2014-15  | January 09, 2015  | Implementation of Section 51-A of UAPA, 1967 –<br>Updates of the UNSCR 1267(1999)<br>/ 1989(2011) Committee's Al Qaida Sanctions List                                                                                         |
| 86         | DPSS.CO.AD.No.1274/<br>02.27.005/2014-15  | January 09, 2015  | Implementation of Section 51-A of UAPA, 1967-<br>Updates of the UNSCR 1988(2011)<br>Taliban Sanctions List                                                                                                                    |
| 87         | DPSS.CO.AD. No.1279/<br>02.27.005/2014-15 | January 09, 2015  | Implementation of Section 51-A of UAPA, 1967 –<br>Updates of the UNSCR 1267(1999)<br>/ 1989(2011) Committee's Al Qaida Sanctions List                                                                                         |
| 88         | DPSS.CO.AD.No.1390/<br>02.27.005/2014-15  | January 21, 2015  | Inter-Government Agreement (IGA) with United States of America (US) under Foreign<br>Accounts Tax Compliance Act (FATCA) -<br>Registration                                                                                    |
| 89         | DPSS.CO.AD.No.1925/<br>02.27.005/2014-15  | April 16, 2015    | Anti-Money Laundering (AML) / Combating of Financing of Terrorism (CFT) -<br>Standards                                                                                                                                        |
| 90         | DPSS.CO.AD.No.745/<br>02.27.005/2015-16   | October 15, 2015  | Reporting requirement under Foreign Account Tax Compliance Act (FATCA) and<br>Common Reporting Standards (CRS)                                                                                                                |
| 91         | DPSS.CO.AD.No.1487<br>/02.27.005/2014-15  | February 04, 2015 | Implementation of Section 51-A of UAPA, 1967 –<br>Updates of the UNSCR 1267(1999)<br>/ 1989(2011) Committee's Al Qaida Sanctions List                                                                                         |
| 92         | DPSS.CO.AD.No.1550 /<br>02.27.005/2014-15 | February 12, 2015 | Implementation of Section 51-A of UAPA, 1967 –<br>Updates of the UNSCR 1267(1999)<br>/ 1989(2011) Committee's Al Qaida Sanctions List                                                                                         |
| 93         | DPSS.CO.AD.No.1555/<br>02.27.005/2014-15  | February 18, 2015 | Implementation of Section 51-A of UAPA, 1967 –<br>Updates of the UNSCR 1267(1999)<br>/ 1989 (2011) Committee's Al Qaida Sanctions List                                                                                        |
| 94         | DPSS.CO.AD.No.1605/<br>02.27.005/2014-15  | February 27, 2015 | Implementation of Section 51-A of UAPA, 1967 –<br>Updates of the UNSCR 1267(1999)<br>/ 1989 (2011) Committee's Al Qaida Sanctions List                                                                                        |
| 95         | DPSS.CO.AD.No.1759/<br>02.27.005/2014-15  | March 24, 2015    | Implementation of Section 51-A of UAPA, 1967 –<br>Updates of the UNSCR 1267(1999)<br>/ 1989 (2011) Committee's Al Qaida Sanctions List                                                                                        |
| 96         | DPSS.CO.AD.No.1760/<br>02.27.005/2014-15  | March 24, 2015    | Implementation of Section 51-A of UAPA, 1967 –<br>Updates of the UNSCR 1267(1999)<br>/ 1989 (2011) Committee's Al Qaida Sanctions List and UNSCR 1988(2011) Taliban<br>Sanctions List –<br>Modification in the Listing Format |
| 97         | DPSS.CO.AD.No.1924/<br>02.27.005/2014-15  | April 16, 2015    | Implementation of Section 51-A of UAPA, 1967 –<br>Updates of the UNSCR 1267(1999)<br>/ 1989 (2011) Committee's Al Qaida Sanctions List                                                                                        |
| 98         | DPSS.CO.AD.No.1923/<br>02.27.005/2014-15  | April 16, 2015    | Implementation of Section 51-A of UAPA, 1967-<br>Updates of the UNSCR 1988(2011)<br>Taliban Sanctions List                                                                                                                    |
| 99         | DPSS.CO.AD.No.1982/<br>02.27.005/2014-15  | April 23, 2015    | Implementation of Section 51-A of UAPA, 1967 –<br>Updates of the UNSCR 1267(1999)<br>/ 1989 (2011) Committee's Al Qaida Sanctions List                                                                                        |

| Sr.<br>No. | Reference Number                              | Date                  | Subject                                                                                         |
|------------|-----------------------------------------------|-----------------------|-------------------------------------------------------------------------------------------------|
| 100        | DPSS(CO)PD No.2112/<br>02.14.003/2014-15      | May 07, 2015          | Security and Risk Mitigation Measures for Card Present and Electronic Payment<br>Transactions   |
| 101        | DPSS(CO)RTGS No.492<br>/04.04.002/2015-16     | September 01,<br>2015 | Changes in RTGS time window                                                                     |
| 102        | DPSS.CO.OD No.803/<br>06.08.005/2018-19       | October 15, 2018      | Directions for Central Counterparties (CCPs)                                                    |
| 103        | DPSS (CO) RTGS No.<br>2488/ 04.04.016/2018-19 | May 28, 2019          | Real Time Gross Settlement (RTGS) System –<br>Extension of Timings for Customer<br>Transactions |
| 104        | DPSS(CO)RTGS No.364<br>/04.04.016/2019-20     | August 21, 2019       | Real Time Gross Settlement (RTGS) System –<br>Increase in operating hours                       |
