| Sr.No | Circular / Notification No.                            | Date       | Subject                                                                                                                |
| 28. | G-123/CL-1(PSB)(Gen)-89/90   | 07.5.1990  | RBI (NR) Rules –<br>Scheme of  |
|     |                              |            | delegation of full powers to   |
|     |                              |            | PSBs (Amendment).              |
| 29. | G-108/CL-1(PSB)(Gen)-89/90   | 03.4.1990  | RBI(NR) Rules 1989 –<br>Bank   |
|     |                              |            | notes of Rs.500/-              |
|     |                              |            | denomination –<br>Exchange of  |
|     |                              |            | defective notes at branches    |
|     |                              |            | of PSBs.                       |
| 30. | G-8/CL-1(PSB)-89/90          | 12.7.1989  | RBI (NR) Rules –<br>Defective  |
|     |                              |            | notes branded with 'To         |

|     |                                      |           | Claims' stamp of RBI Issue<br>Offices.                                                             |
|-----|--------------------------------------|-----------|----------------------------------------------------------------------------------------------------|
| 31. | G.84/CL.1(PSB)<br>-88/89             | 17.3.1989 | RBI(NR) Rules<br>–<br>Delegation<br>of full note exchange powers<br>to PSBs.                       |
| 32. | G.66/CL.1(PSB)<br>-88/89             | 09.2.1989 | RBI (NR) Rules<br>–<br>Delegation<br>of powers to PSBs<br>–<br>Training.                           |
| 33. | S.12/CL<br>-1(PSB)<br>-88/89         | 30.9.1988 | RBI (NR) Rules<br>–<br>Deliberately mutilated notes<br>–<br>Adjudication.                          |
| 34. | G.134/CL<br>-1(PSB)<br>-87/89        | 25.5.1988 | Implementation of the<br>Scheme of delegation of full<br>powers under RBI (NR)<br>Rules.           |
| 35. | 192/CL<br>-<br>1<br>-(PSB)<br>-86/87 | 02.6.1987 | RBI(NR) Rules<br>–<br>Scheme of<br>delegation of full powers<br>to<br>PSBs.                        |
| 36. | 189/CL.2/86/87                       | 02.6.1987 | Defacing currency notes by<br>writing on them or inscribing<br>messages, slogans etc.<br>thereon.  |
| 37. | 185/CL<br>-1(PSB)<br>-86/87          | 20.5.1987 | RBI (NR) Rules<br>–<br>Affixing of<br>'PAY' and 'REJECT' stamps<br>on defective notes.             |
| 38. | 173/CL.1/84/85                       | 02.4.1985 | Delegation of full powers to<br>PSBs for exchange of<br>defective notes/procedures of<br>the same. |
| 39. | Cy.No.1064/CL.1/76/77                | 09.8.1976 | Facilities to the public for<br>exchange of soiled notes and<br>slightly mutilated notes.          |
